YearsExperience,Salary
5.618101782710437,45039.04475098678
14.260714596148743,68578.42187173893
10.979909127171076,56012.25010439182
8.979877262955549,51892.716227397425
2.340279606636548,32531.694094573282
2.3399178050430396,32261.17464036559
0.8712541825229919,34615.71292349007
12.992642186624028,66550.32555227254
9.016725176148132,52325.782575629324
10.621088666940683,59563.320361027785
0.3087674144370367,31856.826611235494
14.548647782429915,64436.26019225941
12.486639612006327,62300.78584654105
3.185086660174142,42576.82634983326
2.727374508106509,36710.95815293642
2.7510676478015075,41571.60008694579
4.563633644393066,33549.84879871343
7.871346474483568,52144.07369933459
6.479175279631736,46459.079403793854
4.368437102970629,40024.07070602897
9.177793420835693,53219.76588169574
2.0924079097806274,29268.31303064889
4.3821697280282725,40296.408656558146
5.495427649405375,44809.90683804868
6.841049763255539,51536.30654236339
11.777639420895204,57889.28789741707
2.995106732375396,35062.28602225893
7.713516576204174,47778.52030975683
8.886218532930638,54961.75268543282
0.6967561907999659,32728.143805978965
9.113172778521575,51193.65133500282
2.557861855309373,37934.4569376135
0.9757738947791927,32730.667384992103
14.233283058799998,68489.14261859866
14.48448049611839,64105.041958663925
12.125960221746917,59331.91411457399
4.56920653760056,40246.69188460493
1.465081710095758,29272.159430843043
10.263495397682354,56547.09932539961
6.602287406094019,47288.88433177471
1.8305735226716824,34591.77417660659
7.427653651669052,47865.37272904719
0.5158278167282759,27043.457315669446
13.639806031181731,62837.57910965825
3.8816997240002538,38676.10576042032
9.93783426530973,52437.753855609466
4.675666141341164,41205.30821835488
7.801020317667162,50714.70336461152
8.200654190149194,56160.19317900457
2.7728168328829055,37455.77552070278
14.543769416468379,67132.07471333924
11.626992350416717,58844.14312874329
14.092484123462837,59474.896662759966
13.422410256414732,63476.48401468918
8.968499682166277,52601.93983523877
13.828113525346753,71960.01015082274
1.3273875307787923,32741.38593260361
2.939742936287178,38253.99936771878
0.678409333658071,31591.88802502945
4.8799549614489655,38693.85329076382
5.8301593453422305,48003.86680690064
4.070235476608438,42431.387789581415
12.43106263727894,63450.75243432649
5.3512999004038395,40650.08738662538
4.214017645310712,44743.42704608508
8.140441247373728,46145.549930057474
2.11386337462144,37045.229717954404
12.032954711310595,66653.75365570642
1.1182596551965625,29824.040162599344
14.80330404900776,65309.36693371108
11.583671539449861,59258.13294388758
2.9807352230125863,35941.41109518287
0.08283175685403599,25555.08909893669
12.231921426822513,60785.49249147436
10.602860157714257,53320.23925310733
10.93510752061481,58758.546093442565
11.569055200289187,56164.365298021556
1.1106697760113553,37426.477655081006
5.376985928164089,41092.70494340151
1.7380358928769457,33378.905183575334
